,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,sleep_cycle,efficiency,sleep_score,sleep_duration,start_time,update_time,create_time,time_offset,end_time
33,68,2024-01-17 07:29:00,48,2024-01-17 00:25:00,2,74,82,415,2024-01-17 00:25:00,2024-01-17 07:30:04.920,2024-01-17 07:29:31.053,UTC-0300,2024-01-17 07:20:00
35,55,,21,,4,89,72,369,2024-01-17 23:21:00,2024-01-18 05:30:13.704,2024-01-18 05:30:01.777,UTC-0300,2024-01-18 05:30:00
34,67,,53,,5,84,77,521,2024-01-18 23:31:00,2024-01-19 08:16:29.882,2024-01-19 08:12:13.392,UTC-0300,2024-01-19 08:12:00
36,57,2024-01-20 11:11:00,29,2024-01-20 03:38:00,3,83,77,438,2024-01-20 03:38:00,2024-01-20 11:27:36.880,2024-01-20 11:27:24.175,UTC-0300,2024-01-20 10:56:00
37,79,2024-01-21 09:08:00,2,2024-01-21 01:37:00,4,98,97,441,2024-01-21 01:37:00,2024-01-21 09:14:59.930,2024-01-21 09:10:37.882,UTC-0300,2024-01-21 08:58:00
38,64,2024-01-22 07:41:00,21,2024-01-22 00:47:00,3,89,82,401,2024-01-22 00:47:00,2024-01-22 07:53:45.639,2024-01-22 07:52:44.841,UTC-0300,2024-01-22 07:28:00
39,61,2024-01-23 08:16:00,11,2024-01-23 01:05:00,4,92,86,407,2024-01-23 01:05:00,2024-01-23 08:17:25.083,2024-01-23 08:16:34.764,UTC-0300,2024-01-23 07:52:00
41,73,2024-01-24 09:31:00,37,2024-01-24 00:49:00,2,83,82,499,2024-01-24 00:49:00,2024-01-24 09:56:50.041,2024-01-24 09:56:32.200,UTC-0300,2024-01-24 09:08:00
42,79,2024-01-25 09:45:00,20,2024-01-25 00:49:00,4,89,85,508,2024-01-25 00:49:00,2024-01-25 10:08:29.192,2024-01-25 10:08:20.262,UTC-0300,2024-01-25 09:17:00
40,62,2024-01-26 08:25:00,30,2024-01-26 00:20:00,5,88,76,473,2024-01-26 00:20:00,2024-01-26 08:32:04.726,2024-01-26 08:25:36.806,UTC-0300,2024-01-26 08:13:00
43,77,2024-01-27 09:34:00,37,2024-01-27 01:51:00,4,82,82,438,2024-01-27 01:51:00,2024-01-27 09:52:02.479,2024-01-27 09:51:45.755,UTC-0300,2024-01-27 09:09:00
44,60,2024-01-28 13:49:00,19,2024-01-28 07:36:00,3,89,79,369,2024-01-28 07:36:00,2024-01-28 14:07:27.757,2024-01-28 13:49:43.074,UTC-0300,2024-01-28 13:45:00
45,57,2024-01-29 06:25:00,28,2024-01-29 00:29:00,3,89,70,346,2024-01-29 00:29:00,2024-01-29 06:30:41.287,2024-01-29 06:25:55.741,UTC-0300,2024-01-29 06:15:00
46,63,,18,,4,89,82,426,2024-01-30 00:08:00,2024-01-30 07:15:04.993,2024-01-30 07:14:42.437,UTC-0300,2024-01-30 07:14:00
47,48,2024-01-31 06:47:00,9,2024-01-31 03:00:00,2,94,64,210,2024-01-31 03:00:00,2024-01-31 07:12:17.137,2024-01-31 07:12:11.124,UTC-0300,2024-01-31 06:30:00
48,64,,19,,4,91,85,504,2024-01-31 22:11:00,2024-02-01 06:35:43.957,2024-02-01 06:35:32.194,UTC-0300,2024-02-01 06:35:00
49,93,,2,,4,98,83,619,2024-02-02 00:47:00,2024-02-02 11:19:58.533,2024-02-02 11:06:20.375,UTC-0300,2024-02-02 11:06:00
50,80,2024-02-03 08:45:00,21,2024-02-03 00:32:00,5,88,85,466,2024-02-03 00:32:00,2024-02-03 10:17:31.791,2024-02-03 09:13:15.780,UTC-0300,2024-02-03 08:18:00
51,55,2024-02-04 09:17:00,42,2024-02-04 02:55:00,3,85,72,357,2024-02-04 02:55:00,2024-02-04 09:42:52.888,2024-02-04 09:42:34.738,UTC-0300,2024-02-04 08:52:00
52,60,2024-02-05 08:16:00,13,2024-02-05 01:28:00,4,93,85,398,2024-02-05 01:28:00,2024-02-05 08:20:19.559,2024-02-05 08:16:45.979,UTC-0300,2024-02-05 08:06:00
53,64,2024-02-06 07:54:00,22,2024-02-06 01:49:00,3,88,74,351,2024-02-06 01:49:00,2024-02-06 08:01:58.265,2024-02-06 08:01:46.255,UTC-0300,2024-02-06 07:40:00
54,58,2024-02-07 05:38:00,30,2024-02-06 22:54:00,2,86,67,352,2024-02-06 22:54:00,2024-02-07 06:09:00.077,2024-02-07 06:08:51.194,UTC-0300,2024-02-07 04:46:00
55,85,2024-02-08 08:14:00,21,2024-02-07 23:30:00,5,89,86,493,2024-02-07 23:30:00,2024-02-08 08:38:05.481,2024-02-08 08:37:34.345,UTC-0300,2024-02-08 07:43:00
56,65,2024-02-09 06:48:00,10,2024-02-09 00:17:00,5,93,79,365,2024-02-09 00:17:00,2024-02-09 07:10:20.194,2024-02-09 07:10:10.301,UTC-0300,2024-02-09 06:22:00
57,49,2024-02-10 08:08:00,44,2024-02-10 01:16:00,5,86,66,394,2024-02-10 01:16:00,2024-02-10 08:49:30.141,2024-02-10 08:38:53.206,UTC-0300,2024-02-10 07:50:00
58,67,2024-02-11 11:25:00,17,2024-02-11 05:35:00,3,91,77,333,2024-02-11 05:35:00,2024-02-11 11:51:53.341,2024-02-11 11:51:43.297,UTC-0300,2024-02-11 11:08:00
59,58,2024-02-12 10:17:00,16,2024-02-12 04:14:00,4,93,72,346,2024-02-12 04:14:00,2024-02-12 10:48:07.006,2024-02-12 10:47:00.158,UTC-0300,2024-02-12 10:00:00
60,73,2024-02-13 09:43:00,20,2024-02-13 01:29:00,6,89,85,478,2024-02-13 01:29:00,2024-02-13 10:01:32.904,2024-02-13 10:01:20.077,UTC-0300,2024-02-13 09:27:00
61,55,2024-02-14 06:29:00,30,2024-02-14 00:02:00,3,84,73,380,2024-02-14 00:02:00,2024-02-14 06:56:40.011,2024-02-14 06:55:12.150,UTC-0300,2024-02-14 06:22:00
62,82,2024-02-15 09:21:00,15,2024-02-15 00:05:00,6,90,85,520,2024-02-15 00:05:00,2024-02-15 09:51:50.984,2024-02-15 09:51:40.148,UTC-0300,2024-02-15 08:45:00
63,77,2024-02-16 09:40:00,26,2024-02-16 01:38:00,5,87,82,461,2024-02-16 01:38:00,2024-02-16 10:06:33.847,2024-02-16 10:06:25.181,UTC-0300,2024-02-16 09:19:00
64,65,2024-02-17 09:20:00,16,2024-02-17 02:54:00,4,91,77,361,2024-02-17 02:54:00,2024-02-17 09:29:14.004,2024-02-17 09:29:04.510,UTC-0300,2024-02-17 08:55:00
65,72,2024-02-18 10:16:00,4,2024-02-18 03:31:00,5,95,87,379,2024-02-18 03:31:00,2024-02-18 10:45:29.625,2024-02-18 10:45:22.208,UTC-0300,2024-02-18 09:50:00
66,70,2024-02-19 10:28:00,13,2024-02-19 03:29:00,3,94,86,379,2024-02-19 03:29:00,2024-02-19 10:39:40.137,2024-02-19 10:39:26.848,UTC-0300,2024-02-19 09:48:00
