physical_recovery,movement_awakening,sleep_cycle,efficiency,sleep_score,sleep_duration,start_time,time_offset,end_time
65,16,4,91,77,361,2024-02-17 05:54:00.000,UTC-0300,2024-02-17 11:55:00.000
72,4,5,95,87,379,2024-02-18 06:31:00.000,UTC-0300,2024-02-18 12:50:00.000
70,13,3,94,86,379,2024-02-19 06:29:00.000,UTC-0300,2024-02-19 12:48:00.000
53,38,3,83,81,434,2024-02-27 02:18:00.000,UTC-0300,2024-02-27 09:32:00.000
80,19,4,90,89,508,2024-02-21 03:15:00.000,UTC-0300,2024-02-21 11:43:00.000
62,24,4,87,81,446,2024-02-28 03:21:00.000,UTC-0300,2024-02-28 10:47:00.000
71,25,4,89,82,470,2024-02-29 04:39:00.000,UTC-0300,2024-02-29 12:29:00.000
65,20,5,89,71,350,2024-02-22 03:39:00.000,UTC-0300,2024-02-22 09:29:00.000
34,8,1,93,60,149,2024-03-01 05:57:00.000,UTC-0300,2024-03-01 08:26:00.000
75,11,4,93,91,500,2024-02-23 03:16:00.000,UTC-0300,2024-02-23 11:36:00.000
18,7,1,94,58,99,2024-03-01 06:33:00.000,UTC-0300,2024-03-01 12:12:00.000
60,20,2,90,82,415,2024-02-24 05:42:00.000,UTC-0300,2024-02-24 12:37:00.000
66,24,5,89,75,376,2024-02-25 06:43:00.000,UTC-0300,2024-02-25 12:59:00.000
21,35,1,82,46,144,2024-03-07 18:34:00.000,UTC+0100,2024-03-07 20:58:00.000
82,18,4,91,92,484,2024-02-26 05:34:00.000,UTC-0300,2024-02-26 13:38:00.000
81,20,4,87,88,437,2024-03-03 22:27:00.000,UTC+0100,2024-03-04 05:44:00.000
52,46,5,80,77,449,2024-03-07 22:47:00.000,UTC+0100,2024-03-08 06:16:00.000
69,26,4,89,84,471,2024-03-06 22:08:00.000,UTC+0100,2024-03-07 05:59:00.000
48,21,3,90,74,382,2024-03-05 00:42:00.000,UTC+0100,2024-03-05 07:04:00.000
60,28,4,89,78,516,2024-03-05 22:26:00.000,UTC+0100,2024-03-06 07:02:00.000
66,25,4,88,71,335,2024-03-03 01:20:00.000,UTC+0100,2024-03-03 06:55:00.000
90,8,5,94,91,486,2024-03-08 20:43:00.000,UTC+0100,2024-03-09 04:49:00.000
79,26,4,84,87,421,2024-03-09 22:44:00.000,UTC+0100,2024-03-10 05:45:00.000
87,26,5,86,85,505,2024-03-10 21:13:00.000,UTC+0100,2024-03-11 05:38:00.000
72,10,5,93,88,415,2024-03-13 01:18:00.000,UTC-0300,2024-03-13 08:13:00.000
60,25,3,91,70,325,2024-03-14 04:27:00.000,UTC-0300,2024-03-14 09:52:00.000
66,11,5,90,89,449,2024-03-15 02:37:00.000,UTC-0300,2024-03-15 10:06:00.000
58,9,4,93,83,366,2024-03-16 03:15:00.000,UTC-0300,2024-03-16 09:21:00.000
62,13,4,92,78,365,2024-03-17 05:36:00.000,UTC-0300,2024-03-17 11:41:00.000
64,15,5,92,78,383,2024-03-18 04:25:00.000,UTC-0300,2024-03-18 10:48:00.000
57,26,3,90,73,366,2024-03-19 03:27:00.000,UTC-0300,2024-03-19 09:33:00.000
68,25,4,87,77,552,2024-03-20 03:18:00.000,UTC-0300,2024-03-20 12:30:00.000
52,21,3,89,78,410,2024-03-21 02:56:00.000,UTC-0300,2024-03-21 09:46:00.000
81,10,5,92,88,411,2024-03-22 03:47:00.000,UTC-0300,2024-03-22 10:38:00.000
57,19,3,91,84,404,2024-03-23 03:03:00.000,UTC-0300,2024-03-23 09:47:00.000
61,9,3,95,77,301,2024-03-24 07:55:00.000,UTC-0300,2024-03-24 12:56:00.000
88,32,3,88,88,495,2024-03-25 03:13:00.000,UTC-0300,2024-03-25 11:28:00.000
53,20,4,91,66,350,2024-03-26 03:58:00.000,UTC-0300,2024-03-26 09:48:00.000
83,30,3,86,81,557,2024-03-27 02:42:00.000,UTC-0300,2024-03-27 11:59:00.000
62,20,3,90,81,426,2024-03-28 04:56:00.000,UTC-0300,2024-03-28 12:02:00.000
71,15,4,89,80,367,2024-03-29 03:59:00.000,UTC-0300,2024-03-29 10:06:00.000
55,14,5,89,79,442,2024-03-30 04:34:00.000,UTC-0300,2024-03-30 11:56:00.000
62,34,3,85,75,408,2024-03-31 04:36:00.000,UTC-0300,2024-03-31 11:24:00.000
52,24,4,89,79,393,2024-04-01 06:10:00.000,UTC-0300,2024-04-01 12:43:00.000
66,11,5,93,89,413,2024-04-02 05:22:00.000,UTC-0300,2024-04-02 12:15:00.000
71,19,5,88,84,453,2024-04-03 04:00:00.000,UTC-0300,2024-04-03 11:33:00.000
60,17,4,90,86,433,2024-04-04 04:32:00.000,UTC-0300,2024-04-04 11:45:00.000
64,21,3,90,84,430,2024-04-05 03:30:00.000,UTC-0300,2024-04-05 10:40:00.000
41,21,1,91,66,342,2024-04-06 04:40:00.000,UTC-0300,2024-04-06 10:22:00.000
67,10,4,94,75,342,2024-04-07 04:25:00.000,UTC-0300,2024-04-07 10:07:00.000
80,24,6,87,85,502,2024-04-08 03:07:00.000,UTC-0300,2024-04-08 11:29:00.000
67,14,4,92,79,364,2024-04-09 04:01:00.000,UTC-0300,2024-04-09 10:05:00.000
57,41,6,84,70,360,2024-04-10 03:13:00.000,UTC-0300,2024-04-10 09:13:00.000
80,15,4,92,89,420,2024-04-11 03:53:00.000,UTC-0300,2024-04-11 10:53:00.000
75,31,4,85,83,501,2024-04-12 02:57:00.000,UTC-0300,2024-04-12 11:18:00.000
